INFO 2023-04-25 11:56:43,220 Watching for file changes with StatReloader
INFO 2023-04-25 11:56:48,614 "GET / HTTP/1.1" 302 0
INFO 2023-04-25 11:56:48,634 "GET /accounts/login/?next=/ HTTP/1.1" 200 3989
INFO 2023-04-25 11:56:48,714 "GET /static/dist/css/login-page.css HTTP/1.1" 200 9064
INFO 2023-04-25 11:56:48,715 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2023-04-25 11:56:48,716 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
INFO 2023-04-25 11:56:48,717 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13881
INFO 2023-04-25 11:56:48,719 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
INFO 2023-04-25 11:56:48,719 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
INFO 2023-04-25 11:56:48,719 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
INFO 2023-04-25 11:56:48,720 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
INFO 2023-04-25 11:56:48,721 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2023-04-25 11:56:48,731 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5253
INFO 2023-04-25 11:56:48,732 "GET /static/dist/js/demo.js HTTP/1.1" 200 13042
INFO 2023-04-25 11:56:48,732 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 59416
INFO 2023-04-25 11:56:51,064 "GET /static/dist/img/login.png HTTP/1.1" 200 445475
INFO 2023-04-25 11:56:51,264 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
WARNING 2023-04-25 11:56:51,313 Not Found: /favicon.ico
WARNING 2023-04-25 11:56:51,314 "GET /favicon.ico HTTP/1.1" 404 6202
INFO 2023-04-25 11:57:49,817 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2023-04-25 11:57:49,831 "GET / HTTP/1.1" 200 9298
INFO 2023-04-25 11:57:49,866 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 200 25807
INFO 2023-04-25 11:57:49,870 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 200 2042927
INFO 2023-04-25 11:57:49,929 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
INFO 2023-04-25 13:35:36,442 Watching for file changes with StatReloader
INFO 2023-04-25 13:35:40,117 "GET / HTTP/1.1" 200 9298
